MasterFile,CollisionDate,CollisionTime,RoadwayName,ParkingLotIndicator,Milepoint,NumberInjured,NumberKilled,ofUnits,ofMotorVehicleUnits,Hit&RunIndicator,OneWayIndicator,SpeedLimitNumber,CountyCode,CityCountyCode,InCityLimitsIndicator,Latitude,Longitude,MannerofCollisionCode,LocationFirstEventCode,RoadwayCharacterCode,RoadwaySurfaceCode,RoadwayConditionCode,WeatherCode,LightConditionCode,LandUseCode,SchoolBusRelatedCode,FirstAidSceneIndicator,PropertyDamageIndicator,YR,KABCO,WorkingRID,KTC_RT,KTC_MP,Motorcyclist,Commercial Vehicle,Young Driver,Mature Driver,Pedestrian,Bicyclist,Distracted,Aggressive,Impaired,Unrestrained,Intersection,Roadway Departure,Median Cross-over,CityCrash,DACid,Intersection Crash,Segment Crash,Int_ID,CityIntersection
72696280,20211112,1530,US23,N,31.99,0,0,1,1,N,N,55,98,9801,Y,37.53747,-82.6086,9,4,6,1,1,2,2,7,3,N,N,2021,O,098-US-0023  -010,098-US-0023  -000,31.99,0,0,0,1,0,0,1,1,0,0,0,1,0,1,Non-DAC,0,1,,
72477167,20200216,1844,US23,N,22.961,0,0,2,2,N,N,55,98,9801,Y,37.46554,-82.52631,8,3,6,1,1,2,7,1,3,N,N,2020,O,098-US-0023  -000,098-US-0023  -000,22.961,0,0,1,0,0,0,0,1,0,0,0,1,0,1,DAC,0,1,,
72704180,20211201,,HAMBLEY,N,0.565,0,0,2,2,Y,N,35,98,9801,Y,37.47923,-82.51977,8,7,6,1,1,2,3,1,3,N,N,2021,O,098-CS-1222  -000,098-CS-1222  -000,0.565,0,0,0,0,0,0,1,0,0,0,0,0,0,1,DAC,1,0,195-2107,1
72594989,20210216,758,US23,N,23.704,0,0,2,1,N,N,55,98,9801,Y,37.47272,-82.53463,5,5,6,1,2,3,2,7,3,N,N,2021,O,098-US-0023  -000,098-US-0023  -000,23.704,0,0,0,0,0,0,0,0,0,0,0,1,0,1,DAC,0,1,,
72673968,20210922,1614,BAIRD,N,5.393,0,0,2,2,N,N,35,98,9801,Y,37.4733,-82.52711,4,3,6,1,1,3,2,7,3,N,N,2021,O,098-KY-1426  -000,098-KY-1426  -000,5.393,0,0,0,0,0,0,0,1,0,0,0,0,0,1,DAC,1,0,195-1174,1
72588626,20210127,1900,SMITH,N,0.031,0,0,2,2,N,N,5,98,9801,Y,37.4833,-82.52187,2,3,6,1,5,9,5,6,3,N,N,2021,O,098-CS-1163  -000,098-CS-1163  -000,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,1,DAC,0,1,,
72563647,20201028,1730,JULIUS,N,0.158,0,0,2,2,Y,N,15,98,9801,Y,37.4783,-82.52367,3,3,4,1,1,2,2,6,3,N,N,2020,O,098-CS-1156  -000,098-CS-1156  -000,0.158,0,0,1,0,0,0,1,0,0,0,0,0,0,1,DAC,0,1,,
72719723,20220110,503,CLEVENGER,N,0.018,0,0,2,2,N,N,15,98,9801,Y,37.47576,-82.52415,3,3,5,1,2,3,5,6,3,N,N,2022,O,098-CS-1154  -000,098-CS-1154  -000,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,DAC,1,0,195-1149,1
72686339,20211022,1143,HAMBLEY,N,0.029,0,0,2,2,N,N,35,98,9801,Y,37.47417,-82.52684,1,3,6,1,1,2,2,7,3,N,N,2021,O,098-CS-1222  -000,098-CS-1222  -000,0.029,0,0,0,0,0,0,1,0,0,0,0,0,0,1,DAC,1,0,195-1167,1
72503647,20200522,1336,US23,N,22.935,0,0,2,2,N,N,55,98,9801,Y,37.46545,-82.52586,5,3,6,1,5,3,2,7,3,N,N,2020,O,098-US-0023  -000,098-US-0023  -000,22.935,0,0,0,0,0,0,1,0,0,0,0,0,0,1,DAC,0,1,,
72747991,20220406,1945,KY3417,N,0.376,1,0,1,1,N,N,35,98,9801,Y,37.46671,-82.5582,9,3,1,1,5,6,6,7,3,N,N,2022,C,098-KY-3417  -000,098-KY-3417  -000,0.376,0,0,1,0,0,0,0,1,0,0,0,1,0,1,Non-DAC,0,1,,
72587774,20210125,1009,DESKINS,N,0.01,0,0,2,2,N,N,15,98,9801,N,37.53725,-82.60505,5,3,6,1,5,6,2,7,3,N,N,2021,O,098-PR-1331  -000,098-PR-1331  -000,0.01,0,0,0,0,0,0,1,1,0,0,0,0,0,1,Non-DAC,1,0,195-0615,1
72472582,20200123,123,KY1460,N,7.075,0,0,1,1,N,N,45,98,9801,Y,37.48635,-82.54296,9,3,6,1,1,2,4,1,3,N,N,2020,O,098-KY-1460  -000,098-KY-1460  -000,7.075,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Non-DAC,1,0,195-0957,1
72633922,20210607,1853,US23 TURN LANE,N,0.031,0,0,1,1,N,N,55,98,9801,Y,37.50339,-82.53235,9,3,6,1,5,3,2,7,3,N,Y,2021,O,098-US-0023  -021,098-US-0023  -021,0.031,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Non-DAC,1,0,195-0861,1
